Items,Description,Real Price,% Discount,Discounted Price,Images
WRINKLED LOOK SHIRT,Relaxed fit shirt made of wrinkled effect fabric. Spread collar and short sleeves. Chest patch pocket. Front button closure.,$ 45.90,-34%,$ 29.99,"['https://static.zara.net/assets/public/54d1/9464/1d11420f81fd/85ac57fab481/06103402710-p/06103402710-p.jpg?ts=1713182787740&w=477', 'https://static.zara.net/assets/public/8b6f/b23d/89bb4c6cac21/14d8b631f4e6/06103402710-a1/06103402710-a1.jpg?ts=1713182790015&w=477', 'https://static.zara.net/photos///2024/V/1/2/p/2510/320/800/2/w/151/2510320800_6_1_1.jpg?ts=1706691080570', 'https://static.zara.net/assets/public/594a/167e/07d7466aaa1a/ee3066b88d88/20210472999-e1/20210472999-e1.jpg?ts=1710490673507&w=151', 'https://static.zara.net/assets/public/d027/c1f1/3d0f4021a8c6/c4bdd718b81e/04442500250-e1/04442500250-e1.jpg?ts=1712313067286&w=151', 'https://static.zara.net/assets/public/05e0/aae0/af0740629922/bb8ad5c3c8c8/06103402505-e1/06103402505-e1.jpg?ts=1710435795455&w=151', 'https://static.zara.net/assets/public/e92f/c2c8/a38a4bf2bd87/6c5b5f435e25/06103402800-e1/06103402800-e1.jpg?ts=1710435797134&w=151', 'https://static.zara.net/assets/public/203c/f1a7/13dc461883eb/dacdf6ab9b51/06103430710-e1/06103430710-e1.jpg?ts=1716276084357&w=151']"
100% LINEN SHIRT,Relaxed fit shirt made of lightweight linen fabric. Lapel collar and long sleeves with buttoned cuffs. Front button closure.,,,$ 59.90,"['https://static.zara.net/assets/public/48c9/2003/8fc74d729b24/2198b01a0e2c/01063414676-p/01063414676-p.jpg?ts=1718120431282&w=477', 'https://static.zara.net/assets/public/8b79/c05d/96b14c828e21/047c45686b2e/01063414676-a1/01063414676-a1.jpg?ts=1718120428350&w=477', 'https://static.zara.net/assets/public/15f4/2e58/9a354b7e9f2a/91455364b30f/05575403712-e1/05575403712-e1.jpg?ts=1716298725992&w=151', 'https://static.zara.net/assets/public/de2d/edfc/ad6e40e5b576/a381b0b5ccc9/12749320800-200-e1/12749320800-200-e1.jpg?ts=1711018414848&w=151', 'https://static.zara.net/assets/public/2f12/8958/7c7244968034/c14910079ecb/02750300800-e1/02750300800-e1.jpg?ts=1715593699054&w=151', 'https://static.zara.net/assets/public/594a/167e/07d7466aaa1a/ee3066b88d88/20210472999-e1/20210472999-e1.jpg?ts=1710490673507&w=151', 'https://static.zara.net/assets/public/0511/33de/ca5a449c8317/28510e5cc50f/01166400800-e1/01166400800-e1.jpg?ts=1702544657857&w=151', 'https://static.zara.net/assets/public/5d65/9d59/bd6f49c19243/133cdd2df5b6/01063404403-e1/01063404403-e1.jpg?ts=1707404694227&w=151']"
STRAIGHT CUT ACID WASH JEANS,STRAIGHT CUT ACID WASH JEANS,$ 69.90,-34%,$ 45.99,"['https://static.zara.net/assets/public/7019/1637/7f3b48888ec0/c7c440753c8c/06688402409-p/06688402409-p.jpg?ts=1708013711942&w=477', 'https://static.zara.net/assets/public/7aae/3bee/b49d4e299aa7/2bd6ff326c10/06688402409-a1/06688402409-a1.jpg?ts=1708013715841&w=477', 'https://static.zara.net/assets/public/4ed0/64ab/a2b241c3b596/ee83aaceecb4/06688401409-e1/06688401409-e1.jpg?ts=1708008876373&w=151', 'https://static.zara.net/assets/public/e6f2/69e2/ec5a42ea9cd6/a92d71f0009d/00679402250-e1/00679402250-e1.jpg?ts=1704357337873&w=151', 'https://static.zara.net/assets/public/acd3/8db3/626243b096d0/1f9d15fba831/12006220800-e1/12006220800-e1.jpg?ts=1701172712358&w=151', 'https://static.zara.net/assets/public/a624/9092/9fc14203a2f8/198e8b6afbe8/06399405800-e1/06399405800-e1.jpg?ts=1699958560861&w=151', 'https://static.zara.net/assets/public/594a/167e/07d7466aaa1a/ee3066b88d88/20210472999-e1/20210472999-e1.jpg?ts=1710490673507&w=151', 'https://static.zara.net/assets/public/0511/33de/ca5a449c8317/28510e5cc50f/01166400800-e1/01166400800-e1.jpg?ts=1702544657857&w=151']"
100% LINEN SHIRT,Relaxed fit shirt made of lightweight linen fabric. Lapel collar and long sleeves with buttoned cuffs. Front button closure.,,,$ 59.90,"['https://static.zara.net/assets/public/48c9/2003/8fc74d729b24/2198b01a0e2c/01063414676-p/01063414676-p.jpg?ts=1718120431282&w=477', 'https://static.zara.net/assets/public/8b79/c05d/96b14c828e21/047c45686b2e/01063414676-a1/01063414676-a1.jpg?ts=1718120428350&w=477', 'https://static.zara.net/assets/public/15f4/2e58/9a354b7e9f2a/91455364b30f/05575403712-e1/05575403712-e1.jpg?ts=1716298725992&w=151', 'https://static.zara.net/assets/public/de2d/edfc/ad6e40e5b576/a381b0b5ccc9/12749320800-200-e1/12749320800-200-e1.jpg?ts=1711018414848&w=151', 'https://static.zara.net/assets/public/2f12/8958/7c7244968034/c14910079ecb/02750300800-e1/02750300800-e1.jpg?ts=1715593699054&w=151', 'https://static.zara.net/assets/public/594a/167e/07d7466aaa1a/ee3066b88d88/20210472999-e1/20210472999-e1.jpg?ts=1710490673507&w=151', 'https://static.zara.net/assets/public/0511/33de/ca5a449c8317/28510e5cc50f/01166400800-e1/01166400800-e1.jpg?ts=1702544657857&w=151', 'https://static.zara.net/assets/public/5d65/9d59/bd6f49c19243/133cdd2df5b6/01063404403-e1/01063404403-e1.jpg?ts=1707404694227&w=151']"
LEATHER BIKER JACKET,Jacket with lapel collar and snap button details. Long sleeves with zip cuffs. Front zip pockets and interior pocket. Asymmetric front closure with metal zipper.,$ 169.00,-40%,$ 99.99,"['https://static.zara.net/assets/public/67ee/f734/06aa45a1ab6a/97902c2632ab/4000.jpg?ts=1691740316012&w=477', 'https://static.zara.net/assets/public/7ce7/ccd7/39d847bca39d/0fcb73386b80/4000.jpg?ts=1691740722238&w=477', 'https://static.zara.net/assets/public/975d/d0e8/740f4ee7b12a/2549c58c16b5/0210479999_2_9_1/0210479999_2_9_1.jpg?ts=1709224751543&w=151', 'https://static.zara.net/assets/public/0511/33de/ca5a449c8317/28510e5cc50f/01166400800-e1/01166400800-e1.jpg?ts=1702544657857&w=151', 'https://static.zara.net/assets/public/5d21/72d5/27ce446ebc5b/03e744933a33/03833400800-e1/03833400800-e1.jpg?ts=1704357350922&w=151', 'https://static.zara.net/assets/public/fe1f/4435/e03a4d71990d/8a983a1a097e/1689257032458/1689257032458.jpg?ts=1701338170569&w=151', 'https://static.zara.net/assets/public/0e59/b652/c6914c6992ff/a92aa8da0f17/4000.jpg?ts=1694703369941&w=151', 'https://static.zara.net/assets/public/56a3/574a/0be142b6a8da/01dd7ccf51cd/1687859308602/1687859308602.jpg?ts=1701338209097&w=151']"
TEXTURED POLO,Polo with front vent. Short sleeves. Rib trim.,$ 45.90,-34%,$ 29.99,"['https://static.zara.net/assets/public/cdde/a600/37354e6f8b75/a0e8d8c1bab3/00526404712-p/00526404712-p.jpg?ts=1700069635696&w=477', 'https://static.zara.net/assets/public/1006/ca34/5308492eba68/65b9bb833be1/00526404712-a1/00526404712-a1.jpg?ts=1700044898016&w=477', 'https://static.zara.net/assets/public/2944/f6e2/9f3f4d2cafab/6763efea75f4/20210726999-e1/20210726999-e1.jpg?ts=1709283253747&w=151', 'https://static.zara.net/assets/public/7cfb/c5b7/d83946d79902/69e88925307c/04442400401-e1/04442400401-e1.jpg?ts=1700067359091&w=151', 'https://static.zara.net/assets/public/7f3e/d364/d2a7420b8b10/a4b8b7404895/00526404507-e1/00526404507-e1.jpg?ts=1699950946123&w=151', 'https://static.zara.net/assets/public/d174/fd48/bcc544bcb5ba/49c9f0320d8b/00526404485-e1/00526404485-e1.jpg?ts=1699950942719&w=151', 'https://static.zara.net/assets/public/fab5/759b/18b24e0da055/c35695029a6b/08574402403-e1/08574402403-e1.jpg?ts=1709650192621&w=151', 'https://static.zara.net/assets/public/3878/dd4d/690649629e00/5d1b3d2abdd5/01716410401-e1/01716410401-e1.jpg?ts=1709567826595&w=151']"
VINTAGE EFFECT LEATHER JACKET,Jacket made of worn finish leather. Lapel collar and adjustable long sleeves with leather straps. Front zip pockets at hip. Interior pocket. Front zip closure.,$ 349.00,-48%,$ 179.99,"['https://static.zara.net/assets/public/90c9/3b3c/82464003b06e/888dbbc94b1a/02521003800-p/02521003800-p.jpg?ts=1711456590531&w=477', 'https://static.zara.net/assets/public/b1a8/65b7/33c740eea64d/bcd09e4a032b/02521003800-a1/02521003800-a1.jpg?ts=1711456590466&w=477', 'https://static.zara.net/assets/public/3ad7/caab/acb341cd88cf/0a361758b85a/00962465300-e1/00962465300-e1.jpg?ts=1710779225915&w=151', 'https://static.zara.net/assets/public/0ea9/a654/ace44eb6bae8/ee154664bffb/02521002800-e1/02521002800-e1.jpg?ts=1712157924727&w=151', 'https://static.zara.net/assets/public/c10f/8320/79004315bea5/a4058aa6f216/12045320800-e1/12045320800-e1.jpg?ts=1711556916745&w=151', 'https://static.zara.net/assets/public/9b68/8438/0e2e4d77ab6c/afb5ced8a5d2/20210769999-e1/20210769999-e1.jpg?ts=1708534160348&w=151', 'https://static.zara.net/assets/public/7cfb/c5b7/d83946d79902/69e88925307c/04442400401-e1/04442400401-e1.jpg?ts=1700067359091&w=151', 'https://static.zara.net/assets/public/e1ef/294c/2b0444d4a4f5/006c994061ba/4000.jpg?ts=1691665779431&w=151']"
WRINKLED LOOK SHIRT,Relaxed fit shirt made of wrinkled effect fabric. Spread collar and short sleeves. Chest patch pocket. Front button closure.,$ 45.90,-34%,$ 29.99,"['https://static.zara.net/assets/public/54d1/9464/1d11420f81fd/85ac57fab481/06103402710-p/06103402710-p.jpg?ts=1713182787740&w=477', 'https://static.zara.net/assets/public/8b6f/b23d/89bb4c6cac21/14d8b631f4e6/06103402710-a1/06103402710-a1.jpg?ts=1713182790015&w=477', 'https://static.zara.net/photos///2024/V/1/2/p/2510/320/800/2/w/151/2510320800_6_1_1.jpg?ts=1706691080570', 'https://static.zara.net/assets/public/594a/167e/07d7466aaa1a/ee3066b88d88/20210472999-e1/20210472999-e1.jpg?ts=1710490673507&w=151', 'https://static.zara.net/assets/public/d027/c1f1/3d0f4021a8c6/c4bdd718b81e/04442500250-e1/04442500250-e1.jpg?ts=1712313067286&w=151', 'https://static.zara.net/assets/public/05e0/aae0/af0740629922/bb8ad5c3c8c8/06103402505-e1/06103402505-e1.jpg?ts=1710435795455&w=151', 'https://static.zara.net/assets/public/e92f/c2c8/a38a4bf2bd87/6c5b5f435e25/06103402800-e1/06103402800-e1.jpg?ts=1710435797134&w=151', 'https://static.zara.net/assets/public/203c/f1a7/13dc461883eb/dacdf6ab9b51/06103430710-e1/06103430710-e1.jpg?ts=1716276084357&w=151']"
RELAXED FIT CARGO PANTS,Relaxed fit pants. Front pockets and back welt pockets. Flap patch pockets at legs. Front zip and button closure.,$ 69.90,-34%,$ 45.99,"['https://static.zara.net/assets/public/4984/bc98/2a8f494eaa20/c2ff014de226/05520429806-p/05520429806-p.jpg?ts=1706521496454&w=477', 'https://static.zara.net/assets/public/aa44/5ccc/cc65474aa5c6/6a6b215b0740/05520429806-a1/05520429806-a1.jpg?ts=1706521493048&w=477', 'https://static.zara.net/assets/public/2139/cc12/a3a34f9988f4/d52369a483af/20210722999-e1/20210722999-e1.jpg?ts=1709283256970&w=151', 'https://static.zara.net/assets/public/d027/c1f1/3d0f4021a8c6/c4bdd718b81e/04442500250-e1/04442500250-e1.jpg?ts=1712313067286&w=151', 'https://static.zara.net/assets/public/d1c5/1317/1acd476cb26d/f616549b0b0b/05520429822-e1/05520429822-e1.jpg?ts=1706093308186&w=151', 'https://static.zara.net/assets/public/31da/7b39/cc064580affa/51b1b7913c2e/06917410806-e1/06917410806-e1.jpg?ts=1711536599440&w=151', 'https://static.zara.net/assets/public/a7d6/ef79/55784829a77d/fac6e0668043/04877305800-e1/04877305800-e1.jpg?ts=1708000750999&w=151', 'https://static.zara.net/assets/public/c3ca/bd28/11f141449a13/068f45e84f9b/05862480707-e1/05862480707-e1.jpg?ts=1707751515711&w=151']"
GEOMETRIC PRINT SHIRT,Relaxed fit shirt made of viscose blend fabric. Spread collar and short sleeves. Front button closure.,$ 49.90,-27%,$ 35.99,"['https://static.zara.net/assets/public/0919/1230/5f78430e8ede/e68224139c89/00399204064-p/00399204064-p.jpg?ts=1712217427554&w=477', 'https://static.zara.net/assets/public/ee62/5c00/36da4f9087c1/d2363a68bb9d/00399204064-a1/00399204064-a1.jpg?ts=1712046888026&w=477', 'https://static.zara.net/photos///2024/V/0/2/p/0706/817/707/2/w/151/0706817707_6_1_1.jpg?ts=1707144216933', 'https://static.zara.net/assets/public/013b/4dde/8ce148a9a972/593b800938f4/12282320800-e1/12282320800-e1.jpg?ts=1709564829410&w=151', 'https://static.zara.net/assets/public/2139/cc12/a3a34f9988f4/d52369a483af/20210722999-e1/20210722999-e1.jpg?ts=1709283256970&w=151', 'https://static.zara.net/assets/public/0511/33de/ca5a449c8317/28510e5cc50f/01166400800-e1/01166400800-e1.jpg?ts=1702544657857&w=151', 'https://static.zara.net/assets/public/e8dd/d374/9fbc4300ab53/12ddd08ecf82/01063411800-e1/01063411800-e1.jpg?ts=1705323016541&w=151', 'https://static.zara.net/assets/public/aea6/f04d/f7654c85b7fa/95176a4f8987/04811066500-e1/04811066500-e1.jpg?ts=1714658334387&w=151']"
